Name,Year_of_Release,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Count,Play Score,GameScore,CriticScore
Skylanders Imaginators,2016,0.04,0.08,0,0.02,0.14,80,47,17,8.36,8.96,7.77
Skylanders SWAP Force,2013,0.243333333,0.22,0,0.083333333,0.55,76.66666667,16.66666667,30.33333333,8.07,8.816666667,7.323333333
Skylanders: Spyro's Adventure,2011,0.355,0.295,0,0.105,0.755,79.5,13,52,7.865,8.2,7.53
Skylanders: SuperChargers,2015,0.17,0.08,0,0.05,0.31,81,51,29,8.09,8.35,7.82
Skylanders: Trap Team,2014,0.19,0.18,0,0.07,0.44,78,46,32,8.38,8.82,7.95
Sleeping Dogs,2012,0.185,0.27,0.025,0.1,0.58,82,31.5,927,8.695,9.22,8.17
Sly Cooper: Thieves in Time,2013,0.35,0.12,0,0.08,0.54,75,69,343,8.26,9.16,7.36
Sniper Elite,2005,0,0.01,0,0,0.02,76,13,142,7.41,7.59,7.23
Sniper Elite V2,2012,0.38,0.38,0.06,0.14,0.96,70,21,92,7.6,8.28,6.93
Sniper: Ghost Warrior,2011,0.27,0.34,0.04,0.13,0.79,53,17,34,6.85,7.73,5.97
Sniper: Ghost Warrior 2,2013,0.035,0.115,0.015,0.04,0.205,52,19.5,201,6.55,7.67,5.425
Soldier of Fortune: Payback,2007,0.12,0.02,0,0.01,0.15,50,14,13,6.57,7.13,6.01
Song of the Deep,2016,0.045,0,0,0.005,0.055,71,26.5,22.5,7.855,8.39,7.325
Sonic Boom: Shattered Crystal,2014,0.17,0.09,0,0.03,0.29,47,21,160,7.04,8.69,5.39
Sonic Generations,2011,0.353333333,0.41,0.01,0.123333333,0.903333333,73,26,232.6666667,8.23,8.923333333,7.536666667
Sonic Lost World,2013,0.24,0.14,0.07,0.03,0.49,59,34,144,7.6,8.72,6.47
Sonic Unleashed,2008,0.56,0.32,0.01,0.14,1.02,54,24,130,7.33,8.47,6.2
Sorcery,2012,0.14,0.11,0,0.05,0.29,70,52,57,7.36,8.04,6.68
SoulCalibur IV,2008,0.72,0.4,0.14,0.2,1.46,85,65,129,7.89,7.94,7.83
SoulCalibur V,2012,0.35,0.23,0.07,0.09,0.75,81,53,150,7.88,7.84,7.91
South Park: The Stick of Truth,2014,0.25,0.22,0,0.085,0.555,85,39.5,1157,8.895,9.405,8.395
