Platform,Year,Rank,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
PSV,2017,32685,0.0,0.0,0.02,0.0,0.02
SAT,1994,187923,0.17,0.12,3.3400000000000007,0.02,3.6400000000000006
SAT,1995,479422,0.55,0.42000000000000004,10.549999999999999,0.05,11.579999999999998
SAT,1996,338193,0.0,0.0,7.69,0.0,7.69
SAT,1997,291011,0.0,0.0,6.7700000000000005,0.0,6.7700000000000005
SAT,1998,307036,0.0,0.0,3.819999999999999,0.0,3.819999999999999
SAT,1999,11186,0.0,0.0,0.09,0.0,0.09
SCD,1993,1263,1.0,0.36,0.09,0.05,1.5
SCD,1994,59768,0.0,0.0,0.36,0.0,0.37
SNES,1990,3515,15.28,4.6,5.6,0.6700000000000002,26.16
SNES,1991,143210,5.470000000000001,1.8400000000000005,8.540000000000001,0.37000000000000005,16.21
SNES,1992,99301,9.52,3.29,19.669999999999998,0.5,32.97999999999999
SNES,1993,264703,12.18,3.85,23.21,0.78,40.010000000000005
SNES,1994,334986,9.43,2.6700000000000004,22.570000000000004,0.41000000000000003,35.08
SNES,1995,407473,7.260000000000001,2.2199999999999998,22.370000000000005,0.3500000000000001,32.21000000000001
SNES,1996,208320,2.09,0.5700000000000001,13.119999999999997,0.14,15.929999999999996
SNES,1997,28105,0.0,0.0,0.9900000000000001,0.0,0.9900000000000001
SNES,1998,20607,0.0,0.0,0.22000000000000003,0.0,0.22000000000000003
SNES,1999,6584,0.0,0.0,0.26,0.0,0.26
TG16,1995,24763,0.0,0.0,0.16,0.0,0.16
WS,1999,14187,0.0,0.0,0.46,0.0,0.46
WS,2000,12241,0.0,0.0,0.68,0.0,0.68
WS,2001,20845,0.0,0.0,0.28,0.0,0.28
Wii,2006,311347,71.30000000000003,43.83999999999999,9.149999999999999,13.559999999999992,137.91000000000003
Wii,2007,1404687,84.25000000000003,44.649999999999984,12.119999999999987,13.749999999999966,154.97
Wii,2008,2103782,98.7700000000001,47.359999999999985,12.689999999999987,15.249999999999954,174.16
Wii,2009,2503655,116.53999999999994,59.35999999999997,16.570000000000004,17.79000000000012,210.4400000000002
Wii,2010,2023089,75.0300000000001,37.50000000000002,8.779999999999998,10.469999999999951,131.8000000000001
Wii,2011,1172886,32.71999999999998,18.52,5.579999999999999,5.499999999999981,62.41000000000001
Wii,2012,245996,11.459999999999999,6.39,3.3400000000000003,1.5900000000000005,22.770000000000003
Wii,2013,90084,4.909999999999999,3.609999999999999,0.05,0.8100000000000002,9.359999999999998
Wii,2014,39243,1.82,2.25,0.0,0.36000000000000004,4.439999999999999
Wii,2015,34894,0.5700000000000001,0.8700000000000001,0.0,0.12000000000000001,1.55
WiiU,2012,231696,9.129999999999999,5.250000000000002,2.1299999999999994,1.2800000000000005,17.840000000000003
WiiU,2013,312368,10.15,6.599999999999999,3.5399999999999987,1.5200000000000005,21.84
WiiU,2014,247518,10.78,6.489999999999999,3.1599999999999997,2.1099999999999994,22.509999999999994
WiiU,2015,232007,6.770000000000001,4.899999999999999,3.4099999999999993,1.2900000000000003,16.380000000000003
WiiU,2016,85553,1.49,0.99,0.55,0.25,3.2899999999999996
X360,2005,110724,6.890000000000001,0.5100000000000002,0.28,0.6300000000000002,8.319999999999999
X360,2006,678478,35.16,11.119999999999989,1.2000000000000004,4.459999999999989,51.879999999999995
X360,2007,752917,62.94999999999997,22.580000000000016,1.5200000000000002,8.739999999999982,95.83999999999993
X360,2008,790777,82.44000000000004,38.64,1.8900000000000006,12.68999999999999,135.76000000000002
X360,2009,1168353,73.96999999999998,33.91000000000001,1.9500000000000008,11.089999999999975,120.85000000000001
X360,2010,1197353,107.20999999999997,47.42000000000005,2.1100000000000008,14.209999999999976,171.05000000000004
X360,2011,1543205,86.69999999999997,43.850000000000044,1.7800000000000011,12.749999999999963,145.1200000000002
X360,2012,616637,58.32000000000001,33.17000000000002,1.0600000000000005,8.269999999999992,100.87999999999992
X360,2013,437716,53.12999999999998,28.56000000000002,0.4300000000000001,7.439999999999997,89.61000000000001
X360,2014,438272,20.090000000000007,13.070000000000002,0.08,3.1799999999999957,36.40999999999998
X360,2015,364847,7.11,4.769999999999997,0.0,1.1400000000000003,13.049999999999999
X360,2016,93657,0.36000000000000004,0.4000000000000001,0.0,0.07,0.8300000000000001
XB,2000,2085,0.74,0.21,0.0,0.04,0.99
XB,2001,190790,16.61,4.649999999999998,0.37,0.6300000000000002,22.23999999999999
XB,2002,1371621,34.049999999999976,11.779999999999966,0.49000000000000005,1.690000000000001,48.15000000000006
XB,2003,1666772,39.34000000000003,13.489999999999965,0.30000000000000004,1.9100000000000013,55.16000000000003
XB,2004,1503894,48.47000000000003,14.619999999999958,0.2,2.1299999999999986,65.50000000000001
XB,2005,1599570,34.84,12.489999999999972,0.02,1.7300000000000009,49.17000000000011
XB,2006,666777,7.469999999999996,2.2499999999999973,0.0,0.3200000000000001,10.149999999999991
XB,2007,25417,0.41,0.12000000000000001,0.0,0.02,0.5499999999999999
XB,2008,8195,0.13,0.04,0.0,0.01,0.18
XOne,2013,76577,11.799999999999997,5.29,0.02,1.5000000000000004,18.599999999999998
XOne,2014,341154,30.409999999999993,17.750000000000007,0.13999999999999999,4.139999999999995,52.43
XOne,2015,573295,34.28999999999999,17.98000000000002,0.17000000000000004,5.2299999999999915,57.660000000000025
XOne,2016,584548,6.689999999999997,4.629999999999995,0.01,1.0500000000000005,12.369999999999987
