Name,Platform,Year,Rank,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
Accel World: Ginyoku no Kakusei,PS3,2012,14300,0.0,0.0,0.03,0.0,0.03
Accel World: Ginyoku no Kakusei,PSP,2012,14336,0.0,0.0,0.03,0.0,0.03
Accel World: Kasoku no Chouten,PS3,2013,15950,0.0,0.0,0.02,0.0,0.02
Accel World: Kasoku no Chouten,PSP,2013,16153,0.0,0.0,0.01,0.0,0.01
Ace Attorney 6,3DS,2016,6392,0.0,0.0,0.27,0.0,0.27
Ace Attorney Investigations 2,DS,2011,6502,0.0,0.0,0.26,0.0,0.26
Ace Attorney Investigations: Miles Edgeworth,DS,2009,2716,0.27,0.15,0.30000000000000004,0.04,0.76
Ace Combat 04: Shattered Skies,PS2,2001,434,2.06,0.56,0.38,0.17,3.17
Ace Combat 2,PS,1997,2341,0.16,0.11,0.56,0.06,0.89
Ace Combat 3: Electrosphere,PS,1999,2483,0.22,0.15,0.4,0.05,0.8300000000000001
Ace Combat 5: The Unsung War,PS2,2004,1046,0.88,0.34,0.32,0.18,1.71
Ace Combat 6: Fires of Liberation,X360,2007,2038,0.6900000000000001,0.04,0.22,0.06,1.02
Ace Combat X: Skies of Deception,PSP,2006,2090,0.37,0.31,0.12,0.19,0.99
Ace Combat Zero: The Belkan War,PS2,2006,3920,0.15,0.12,0.2,0.04,0.51
Ace Combat: Assault Horizon,PS3,2011,2764,0.30000000000000004,0.16,0.22,0.07,0.74
Ace Combat: Assault Horizon,X360,2011,4021,0.30000000000000004,0.12,0.03,0.04,0.49
Ace Combat: Assault Horizon Legacy,3DS,2011,6802,0.1,0.06,0.08,0.01,0.24
Ace Combat: Joint Assault,PSP,2010,6014,0.06,0.05,0.15,0.03,0.29
Achtung Panzer: Kharkov 1943,PC,2010,15816,0.0,0.01,0.0,0.0,0.02
Act of Aggression,PC,2015,16364,0.0,0.01,0.0,0.0,0.01
Action Bass,PS,2000,1784,0.64,0.43,0.0,0.07,1.1400000000000001
Action Force,2600,1982,3718,0.5,0.03,0.0,0.01,0.54
Active Health with Carol Vorderman,DS,2009,7903,0.0,0.18,0.0,0.01,0.19
Active Life Explorer,Wii,2010,8798,0.14,0.0,0.0,0.01,0.15
Active Life: Extreme Challenge,Wii,2009,4091,0.15,0.27,0.0,0.06,0.48
Active Life: Magical Carnival,Wii,2011,13165,0.04,0.01,0.0,0.0,0.05
Active Life: Outdoor Challenge,Wii,2008,1200,0.79,0.44,0.19,0.14,1.55
Activision Anthology,GBA,2003,13440,0.03,0.01,0.0,0.0,0.05
Activision Anthology,PS2,2002,3969,0.25,0.19,0.0,0.06,0.5
Activision Hits: Remixed,PSP,2006,12819,0.05,0.0,0.0,0.0,0.06
Actua Tennis,PS,1997,9658,0.07,0.05,0.0,0.01,0.13
Adidas Power Soccer,PS,1996,13911,0.02,0.01,0.0,0.0,0.04
Adidas Power Soccer 98,PS,1998,15476,0.01,0.01,0.0,0.0,0.02
Adrenalin Misfits,X360,2010,9023,0.12,0.02,0.0,0.01,0.14
Advance Guardian Heroes,GBA,2004,13549,0.03,0.01,0.0,0.0,0.04
Advance Wars,GBA,2001,2925,0.5,0.19,0.0,0.01,0.7000000000000001
Advance Wars 2: Black Hole Rising,GBA,2003,3115,0.47000000000000003,0.17,0.0,0.01,0.65
Advance Wars: Dual Strike,DS,2005,4806,0.30000000000000004,0.03,0.04,0.03,0.4
Advent Rising,XB,2005,9586,0.1,0.03,0.0,0.0,0.13
Adventure Island,NES,1986,1973,0.0,0.0,1.05,0.0,1.05
Adventure Time: Explore the Dungeon Because I Don't Know!,3DS,2013,9010,0.1,0.03,0.0,0.01,0.14
Adventure Time: Explore the Dungeon Because I Don't Know!,PS3,2013,13211,0.02,0.02,0.0,0.01,0.05
Adventure Time: Explore the Dungeon Because I Don't Know!,WiiU,2013,14105,0.02,0.01,0.0,0.0,0.03
Adventure Time: Explore the Dungeon Because I Don't Know!,X360,2013,11425,0.03,0.04,0.0,0.01,0.08
Adventure Time: Finn & Jake Investigations,3DS,2015,11780,0.02,0.05,0.0,0.01,0.07
Adventure Time: Finn & Jake Investigations,PS3,2015,10435,0.02,0.07,0.0,0.02,0.1
Adventure Time: Finn & Jake Investigations,PS4,2015,11185,0.03,0.04,0.0,0.01,0.09
Adventure Time: Finn & Jake Investigations,WiiU,2015,12885,0.03,0.02,0.0,0.0,0.05
Adventure Time: Finn & Jake Investigations,X360,2015,10884,0.02,0.06,0.0,0.01,0.09
Adventure Time: Finn & Jake Investigations,XOne,2015,13126,0.02,0.02,0.0,0.0,0.05
Adventure Time: The Secret of the Nameless,3DS,2014,15911,0.01,0.0,0.0,0.0,0.02
Adventure Time: The Secret of the Nameless,X360,2014,16204,0.01,0.0,0.0,0.0,0.01
Adventure Time: The Secret of the Nameless Kingdom,3DS,2014,11432,0.0,0.07,0.0,0.0,0.08
Adventure Time: The Secret of the Nameless Kingdom,X360,2014,11205,0.0,0.08,0.0,0.01,0.09
Adventures of Lolo,NES,1989,12638,0.06,0.0,0.0,0.0,0.06
Adventures of Tron,2600,1981,3046,0.63,0.03,0.0,0.01,0.67
Adventures to Go!,PSP,2008,9653,0.1,0.0,0.01,0.01,0.13
Aedis Eclipse: Generation of Chaos,PSP,2006,15716,0.02,0.0,0.0,0.0,0.02
Aegis of Earth: Protonovus Assault,PS3,2016,14721,0.01,0.01,0.0,0.0,0.03
Aegis of Earth: Protonovus Assault,PS4,2016,15169,0.02,0.0,0.0,0.0,0.02
Aegis of Earth: Protonovus Assault,PSV,2016,14075,0.02,0.01,0.0,0.01,0.04
Aeon Flux,PS2,2005,13720,0.02,0.02,0.0,0.01,0.04
Aeon Flux,XB,2005,16104,0.01,0.0,0.0,0.0,0.01
Aero Elite: Combat Academy,PS2,2002,11826,0.04,0.03,0.0,0.01,0.07
Aero Gauge,N64,1997,11983,0.06,0.01,0.0,0.0,0.07
AeroFighters Assault,N64,1997,7863,0.15,0.04,0.0,0.0,0.19
Afrika,PS3,2008,7316,0.12,0.0,0.08,0.01,0.21
Afro Samurai,PS3,2009,7601,0.12,0.05,0.0,0.03,0.2
Afro Samurai,X360,2009,6944,0.16,0.05,0.0,0.02,0.24
After Hours Athletes,PS3,2011,9681,0.0,0.1,0.0,0.03,0.12
Again,DS,2009,11763,0.07,0.0,0.0,0.0,0.07
Agassi Tennis Generation,PS2,2003,10978,0.04,0.03,0.0,0.01,0.09
Agatha Christie's The ABC Murders,PS4,2016,15484,0.01,0.01,0.0,0.0,0.02
Agatha Christie: And Then There Were None,Wii,2008,11604,0.06,0.01,0.0,0.01,0.08
Agatha Christie: Death on the Nile,PC,2008,15614,0.0,0.01,0.0,0.0,0.02
Agatha Christie: Evil Under the Sun,Wii,2008,11030,0.07,0.02,0.0,0.01,0.09
Agatha Christie: Peril at End House,PC,2009,16482,0.0,0.01,0.0,0.0,0.01
Agatha Christie: The ABC Murders,DS,2009,10446,0.08,0.01,0.0,0.01,0.1
Agatha Christie: The ABC Murders,PC,2016,15473,0.0,0.02,0.0,0.0,0.02
Age of Conan: Rise of the Godslayer,PC,2010,14656,0.0,0.02,0.0,0.0,0.03
Age of Empires II: The Age of Kings,PC,1999,10693,0.01,0.08,0.0,0.02,0.1
Age of Empires III,PC,2005,4928,0.0,0.32,0.0,0.07,0.39
Age of Empires III: Complete Collection,PC,2009,8296,0.01,0.12,0.0,0.03,0.17
Age of Empires III: Gold Edition,PC,2007,14828,0.0,0.02,0.0,0.01,0.03
Age of Empires III: The Asian Dynasties,PC,2007,12179,0.0,0.05,0.0,0.01,0.07
Age of Empires Online,PC,2011,12362,0.01,0.04,0.0,0.01,0.06
Age of Empires: Collector's Edition,PC,2000,9057,0.02,0.1,0.0,0.02,0.14
Age of Empires: Mythologies,DS,2008,7231,0.17,0.03,0.0,0.02,0.22
Age of Empires: The Age of Kings,DS,2006,7030,0.19,0.02,0.0,0.02,0.23
Age of Mythology,PC,2002,11149,0.02,0.06,0.0,0.01,0.09
Age of Mythology: The Titans,PC,2003,14003,0.01,0.02,0.0,0.0,0.04
Aggressive Inline,GC,2002,12730,0.04,0.01,0.0,0.0,0.06
Aggressive Inline,PS2,2002,5329,0.17,0.13,0.0,0.04,0.35000000000000003
Aggressive Inline,XB,2002,12284,0.05,0.01,0.0,0.0,0.06
Agile Warrior F-111X,PS,1995,9209,0.08,0.05,0.0,0.01,0.14
Aibou DS,DS,2009,11261,0.0,0.0,0.08,0.0,0.08
Aidyn Chronicles: The First Mage,N64,2001,10634,0.08,0.02,0.0,0.0,0.1
Aikatsu! 2-nin no My Princess,3DS,2013,6462,0.0,0.0,0.26,0.0,0.26
Aikatsu! 365 Idol Days,3DS,2014,9634,0.0,0.0,0.13,0.0,0.13
Aikatsu! Cinderella Lesson,3DS,2012,7720,0.0,0.0,0.2,0.0,0.2
Aikatsu! My No.1 Stage!,3DS,2015,11775,0.0,0.0,0.07,0.0,0.07
Ailu de Puzzle,PSP,2012,14029,0.0,0.0,0.04,0.0,0.04
Air Combat,PS,1995,952,0.92,0.33,0.52,0.05,1.83
Air Conflicts: Aces of World War II,PSP,2009,12963,0.05,0.0,0.0,0.0,0.05
Air Conflicts: Secret Wars,PC,2011,14788,0.0,0.02,0.0,0.01,0.03
Air Conflicts: Secret Wars,PS3,2011,7776,0.1,0.06,0.0,0.03,0.19
Air Conflicts: Secret Wars,X360,2011,11304,0.06,0.02,0.0,0.01,0.08
Air Raid,2600,1981,2666,0.72,0.04,0.0,0.01,0.77
Air Traffic Chaos,DS,2007,13007,0.05,0.0,0.0,0.0,0.05
AirForce Delta Storm,GBA,2002,15012,0.02,0.01,0.0,0.0,0.02
AirForce Delta Storm,XB,2001,8045,0.14,0.04,0.0,0.01,0.18
AirForce Delta Strike,PS2,2004,10146,0.05,0.04,0.0,0.01,0.11
Airblade,PS2,2001,7056,0.11,0.09,0.0,0.03,0.23
Airborne Troops: Countdown to D-Day,PS2,2005,9889,0.06,0.05,0.0,0.02,0.12
Airline Tycoon,PC,2000,15654,0.0,0.01,0.0,0.0,0.02
Airline Tycoon 2,PC,2011,12828,0.0,0.04,0.0,0.01,0.05
Airlock,2600,1981,4969,0.36,0.02,0.0,0.0,0.39
Airport Simulator,PC,2011,15347,0.0,0.02,0.0,0.0,0.02
