,Name,Platform,Play Score,Game Score,Critic Score
684,Tales from Space: Mutant Blobs Attack,PS Vita,8.78,9.36,8.19
685,Card City Nights,Android,8.87,9.36,8.37
686,Shantae and the Pirate's Curse,PS4,8.34,9.36,7.31
687,Orcs Must Die! 2,PC,8.76,9.36,8.16
688,Story of Seasons: Trio of Towns,3DS,8.31,9.36,7.25
689,Disgaea 5: Alliance of Vengeance,PS4,8.64,9.36,7.93
690,Hyper Light Drifter,PC,8.86,9.36,8.36
691,Scott Pilgrim vs. the World: The Game,PS3,8.54,9.36,7.72
692,Unavowed,PC,8.8,9.36,8.23
693,Emily is Away Too,PC,8.63,9.36,7.89
694,Just Dance 2020,PS4,8.47,9.36,7.57
