Name,Platform,Play Score,Game Score,Critic Score
Ordia,iOS,9.04,9.49,8.58
Enter the Gungeon,PC,8.89,9.49,8.28
Yakuza 4 Remastered,PS4,8.57,9.49,7.65
Refunct,PC,8.39,9.49,7.29
Dragon Ball Xenoverse,Xbox 360,8.29,9.49,7.09
Professor Layton vs. Phoenix Wright: Ace Attorney,3DS,8.69,9.49,7.90
Shadow Tactics: Blades of the Shogun,PC,8.82,9.49,8.15
Kingdom Rush Origins HD,iOS,8.83,9.49,8.18
ISLANDERS,PC,8.71,9.49,7.94
The Last of Us,PS3,9.45,9.49,9.42
Besiege,PC,8.47,9.49,7.46
Ori and the Blind Forest,PC,9.14,9.49,8.80
Danganronpa 1 & 2 Reload,PS4,8.83,9.49,8.18
Monster Hunter Generations,3DS,8.96,9.48,8.43
Watch Dogs,Xbox 360,8.77,9.48,8.05
Supreme Commander: Forged Alliance,PC,8.72,9.48,7.96
Rolando: Royal Edition,iOS,8.67,9.48,7.87
Black Mesa,PC,8.84,9.48,8.20
Hatsune Miku: Project DIVA f,PS Vita,8.76,9.48,8.04
Naruto Shippuden: Ultimate Ninja Storm Revolution,Xbox 360,8.42,9.48,7.35
S.T.A.L.K.E.R.: Call of Pripyat,PC,8.61,9.48,7.75
Life is Strange,PS4,8.58,9.48,7.69
Super Smash Bros. Ultimate,Switch,9.31,9.48,9.15
Cytus II,iOS,8.96,9.48,8.43
Far Cry 4,Xbox 360,8.85,9.48,8.22
NBA 2K14,Xbox 360,8.79,9.48,8.09
War Tortoise,iOS,8.43,9.48,7.39
Dynasty Warriors: Gundam Reborn,PS3,7.91,9.48,6.35
The Talos Principle,PC,8.96,9.48,8.44
Crazy Machines 3,PC,8.49,9.48,7.49
SteamWorld Dig 2,PC,8.94,9.48,8.39
Age of Empires II: HD Edition,PC,8.24,9.48,7.00
Oddmar,iOS,9.23,9.48,8.97
Hatsune Miku: Project DIVA F 2nd,PS3,8.69,9.48,7.91
Duet Game,iOS,8.83,9.48,8.18
The Elder Scrolls IV: Oblivion,Xbox 360,9.01,9.48,8.55
Borderlands 2,Xbox 360,9.09,9.48,8.70
Mushihimesama,PC,8.85,9.48,8.22
Borderlands 2,PC,9.05,9.48,8.62
Destiny,Xbox 360,8.41,9.48,7.34
Earth Defense Force 4.1: The Shadow of New Despair,PC,8.51,9.48,7.54
Fallout 3,Xbox 360,8.95,9.48,8.43
Postal II,PC,7.66,9.48,5.84
Tangle Tower,iOS,8.75,9.48,8.03
Cytus,iOS,8.73,9.47,7.99
The Lab,PC,8.40,9.47,7.33
Mass Effect 2,Xbox 360,9.44,9.47,9.41
Batman: Arkham Origins,Xbox 360,8.41,9.47,7.35
Bloodstained: Ritual of the Night,PC,8.79,9.47,8.10
Soul Sacrifice Delta,PS Vita,8.77,9.47,8.08
Reventure,PC,8.55,9.47,7.63
INSIDE,PC,8.96,9.47,8.45
Oddworld: Stranger's Wrath HD,PS3,8.70,9.47,7.93
Saint Seiya: Soldiers' Soul,PS3,7.77,9.47,6.06
Destroy All Humans!,PC,8.47,9.47,7.47
Battlefield 4,Xbox 360,8.80,9.47,8.12
Dragon's Dogma: Dark Arisen,PS4,8.51,9.47,7.56
Plants vs. Zombies,iOS,9.06,9.47,8.65
Titanfall 2,PC,8.95,9.47,8.44
NEKO-NIN exHeart,PC,8.01,9.47,6.54
Pokemon Sun,3DS,9.06,9.47,8.64
Agent A: A puzzle in disguise,iOS,8.76,9.47,8.05
LISA: The Painful,PC,8.27,9.47,7.08
Super Mario Maker 2,Switch,9.08,9.47,8.69
Valiant Hearts: The Great War,PC,8.70,9.47,7.94
Saints Row IV,Xbox 360,8.74,9.47,8.02
Wuppo,PC,8.57,9.47,7.68
Twin Breaker: A Sacred Symbols Adventure,PS4,8.31,9.47,7.15
SOMA,PC,8.79,9.47,8.11
Warriors Orochi 3,PS3,8.44,9.47,7.42
What Remains of Edith Finch,PC,9.04,9.47,8.62
Earth Defense Force 5,PS4,8.33,9.46,7.19
PewDiePie: Legend of the Brofist,iOS,8.39,9.46,7.31
Mass Effect,Xbox 360,8.88,9.46,8.29
Yakuza Kiwami 2,PC,8.80,9.46,8.14
Freedom Planet,PC,8.68,9.46,7.91
Phoenix Wright: Ace Attorney - Spirit of Justice,3DS,8.78,9.46,8.11
Diablo III,Xbox 360,8.86,9.46,8.25
Metal Gear Solid V: The Phantom Pain,Xbox 360,9.04,9.46,8.62
Call of Duty: Ghosts,Xbox 360,8.43,9.46,7.41
Dead Island: Riptide,Xbox 360,7.58,9.46,5.71
Stardew Valley,iOS,8.92,9.46,8.39
Thomas Was Alone,iOS,8.93,9.46,8.39
Pony Island,PC,8.91,9.46,8.36
Dead Space 3,Xbox 360,8.62,9.46,7.79
Uncharted: The Lost Legacy,PS4,8.98,9.46,8.50
Skullgirls,PC,8.62,9.46,7.77
GRIS,PS4,8.64,9.46,7.82
Captain Tsubasa: Rise of New Champions,PS4,8.44,9.46,7.42
Steel Empire,3DS,8.54,9.46,7.62
Titanfall,Xbox 360,8.86,9.46,8.26
Game Dev Tycoon,PC,8.05,9.46,6.65
DeathSpank,PS3,8.58,9.46,7.69
Madden NFL 25,Xbox 360,8.53,9.46,7.60
Etrian Odyssey IV: Legends of the Titan,3DS,8.76,9.46,8.06
HIVESWAP: Act 1,PC,8.64,9.46,7.82
Contradiction,PC,8.40,9.46,7.34
Ni no Kuni: Wrath of the White Witch,Switch,8.79,9.45,8.13
Metro: Last Light,Xbox 360,8.69,9.45,7.93
Tomb Raider,PC,8.83,9.45,8.20
SteamWorld Heist,Wii U,8.72,9.45,8.00
Horizon Zero Dawn,PS4,9.12,9.45,8.79
Hatsune Miku: Project Mirai DX,3DS,8.52,9.45,7.58
Bioshock Infinite,PC,9.27,9.45,9.08
Kingdom Rush Vengeance,iOS,8.97,9.45,8.49
Reigns: Her Majesty,iOS,8.80,9.45,8.15
The Legend of Heroes: Trails of Cold Steel II,PS4,8.68,9.45,7.90
Onimusha: Warlords,PS4,8.40,9.45,7.35
FTL: Faster Than Light,PC,8.76,9.45,8.08
Skate City,iOS,8.63,9.45,7.81
Mass Effect,PS3,8.77,9.45,8.10
Plants vs. Zombies: Garden Warfare,PS3,8.45,9.45,7.45
ANOTHER EDEN,iOS,8.77,9.45,8.09
Up Left Out,iOS,8.66,9.45,7.87
Deathsmiles,PC,8.45,9.45,7.45
Piffle,iOS,8.64,9.45,7.83
Cardinal Quest 2,iOS,8.39,9.45,7.33
Bloons TD 5,iOS,8.33,9.45,7.20
The Binding of Isaac,PC,8.88,9.45,8.32
"Warhammer 40,000: Dawn of War-Dark Crusade",PC,8.70,9.45,7.95
